Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,WindowsFormsApp2\SimConnect_To_IP.csproj,File,WindowsFormsApp2\SimConnect_To_IP.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,WindowsFormsApp2\SimConnect_To_IP.csproj,File,WindowsFormsApp2\SimConnect_To_IP.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net10.0-windows"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,WindowsFormsApp2\SimConnect_To_IP.csproj,File,WindowsFormsApp2\Program.cs,32,12,T:System.Windows.Forms.Application,,,,,Application.Run(new frmMain());
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,WindowsFormsApp2\SimConnect_To_IP.csproj,File,WindowsFormsApp2\Program.cs,32,12,M:System.Windows.Forms.Application.Run(System.Windows.Forms.Form),,,,,Application.Run(new frmMain());
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,WindowsFormsApp2\SimConnect_To_IP.csproj,File,WindowsFormsApp2\Program.cs,31,12,T:System.Windows.Forms.Application,,,,,Application.SetCompatibleTextRenderingDefault(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,WindowsFormsApp2\SimConnect_To_IP.csproj,File,WindowsFormsApp2\Program.cs,31,12,M:System.Windows.Forms.Application.SetCompatibleTextRenderingDefault(System.Boolean),,,,,Application.SetCompatibleTextRenderingDefault(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,WindowsFormsApp2\SimConnect_To_IP.csproj,File,WindowsFormsApp2\Program.cs,30,12,T:System.Windows.Forms.Application,,,,,Application.EnableVisualStyles();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,WindowsFormsApp2\SimConnect_To_IP.csproj,File,WindowsFormsApp2\Program.cs,30,12,M:System.Windows.Forms.Application.EnableVisualStyles,,,,,Application.EnableVisualStyles();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,WindowsFormsApp2\SimConnect_To_IP.csproj,File,WindowsFormsApp2\Properties\Settings.Designer.cs,15,74,M:System.Configuration.ApplicationSettingsBase.#ctor,,,,,ApplicationSettingsBase
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,WindowsFormsApp2\SimConnect_To_IP.csproj,File,WindowsFormsApp2\Properties\Settings.Designer.cs,15,74,T:System.Configuration.ApplicationSettingsBase,,,,,ApplicationSettingsBase
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,WindowsFormsApp2\SimConnect_To_IP.csproj,File,WindowsFormsApp2\frmMain.cs,755,16,T:System.Windows.Forms.ListBox,,,,,"listBoxLogs.Items.Add(""Setting COM1 Standby Frequency to "" + STR_COMM1_STANDBYFREQUENCY + "" MHz"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,WindowsFormsApp2\SimConnect_To_IP.csproj,File,WindowsFormsApp2\frmMain.cs,755,16,T:System.Windows.Forms.ListBox.ObjectCollection,,,,,"listBoxLogs.Items.Add(""Setting COM1 Standby Frequency to "" + STR_COMM1_STANDBYFREQUENCY + "" MHz"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,WindowsFormsApp2\SimConnect_To_IP.csproj,File,WindowsFormsApp2\frmMain.cs,755,16,P:System.Windows.Forms.ListBox.Items,,,,,"listBoxLogs.Items.Add(""Setting COM1 Standby Frequency to "" + STR_COMM1_STANDBYFREQUENCY + "" MHz"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,WindowsFormsApp2\SimConnect_To_IP.csproj,File,WindowsFormsApp2\frmMain.cs,755,16,M:System.Windows.Forms.ListBox.ObjectCollection.Add(System.Object),,,,,"listBoxLogs.Items.Add(""Setting COM1 Standby Frequency to "" + STR_COMM1_STANDBYFREQUENCY + "" MHz"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,WindowsFormsApp2\SimConnect_To_IP.csproj,File,WindowsFormsApp2\frmMain.cs,671,12,T:System.Windows.Forms.Timer,,,,,this.timer1.Enabled = false;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,WindowsFormsApp2\SimConnect_To_IP.csproj,File,WindowsFormsApp2\frmMain.cs,671,12,P:System.Windows.Forms.Timer.Enabled,,,,,this.timer1.Enabled = false;
