"Source:","/Users/Shared/bne-arduino-flight-simulator-interfaces/A10/A10 PCBs/Left Console Input/Left Console Input.kicad_sch"
"Date:","mar. 31 mars 2015"
"Tool:","Eeschema (6.0.11-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","75"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Datasheet_1","Footprint_1","Height","Manufacturer_Name","Manufacturer_Part_Number","Reference_1","Value_1"
"","","C1","0.1uF","Device:C","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","~","","","","","","",""
"","","C2","0.1uF","Device:C","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","~","","","","","","",""
"","","C3","0.1uF","Device:C","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","~","","","","","","",""
"","","C4","0.1uF","Device:C","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","~","","","","","","",""
"","","C5","0.1uF","Device:C","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","~","","","","","","",""
"","","C6","0.1uF","Device:C","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","~","","","","","","",""
"","","C7","0.1uF","Device:C","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","~","","","","","","",""
"","","C8","0.1uF","Device:C","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","~","","","","","","",""
"","","C9","0.1uF","Device:C","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","~","","","","","","",""
"","","C10","0.1uF","Device:C","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","~","","","","","","",""
"","","C11","0.1uF","Device:C","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","~","","","","","","",""
"","","C12","0.1uF","Device:C","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","~","","","","","","",""
"","","C13","0.1uF","Device:C","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","~","","","","","","",""
"","","C14","0.1uF","Device:C","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","~","","","","","","",""
"","","D1","GREEN","Device:LED","LED_THT:LED_D3.0mm","~","","","","","","",""
"","","D2","RED","Device:LED","LED_THT:LED_D3.0mm","~","","","","","","",""
"","","H1","MountingHole","Mechanical:MountingHole","Arduino_MountingHole:MountingHole_3.2mm","~","","","","","","",""
"","","H2","MountingHole","Mechanical:MountingHole","Arduino_MountingHole:MountingHole_3.2mm","~","","","","","","",""
"","","H3","MountingHole","Mechanical:MountingHole","Arduino_MountingHole:MountingHole_3.2mm","~","","","","","","",""
"","","H4","MountingHole","Mechanical:MountingHole","Arduino_MountingHole:MountingHole_3.2mm","~","","","","","","",""
"","","J1","VHF_AM","Connector:Conn_01x08_Female","Connector_Molex:Molex_KK-254_AE-6410-08A_1x08_P2.54mm_Vertical","~","","","","","","",""
"","","J2","AUX_LIGHT","Connector:Conn_01x06_Female","Connector_Molex:Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical","~","","","","","","",""
"","","J3","FUEL","Connector:Conn_01x10_Female","Connector_Molex:Molex_KK-254_AE-6410-10A_1x10_P2.54mm_Vertical","~","","","","","","",""
"","","J4","VHF_FM_ANA","Connector:Conn_01x03_Female","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","~","","","","","","",""
"","","J5","VHF_AM_ANA","Connector:Conn_01x03_Female","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","~","","","","","","",""
"","","J6","AUX_LTG_ANA","Connector:Conn_01x03_Female","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","~","","","","","","",""
"","","J7","FUEL ANA","Connector:Conn_01x03_Female","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","~","","","","","","",""
"","","J8","HSI","Connector:Conn_01x06_Female","Connector_Molex:Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical","~","","","","","","",""
"","","J9","EAC","Connector:Conn_01x04_Female","Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical","~","","","","","","",""
"","","J10","SAS_ANA","Connector:Conn_01x03_Female","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","~","","","","","","",""
"","","J11","SAS_INPUTS","Connector:Conn_01x06_Female","Connector_Molex:Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical","~","","","","","","",""
"","","J12","UHF_ANA","Connector:Conn_01x03_Female","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","~","","","","","","",""
"","","J13","VHF_AM__1","Connector:Conn_01x08_Female","Connector_Molex:Molex_KK-254_AE-6410-08A_1x08_P2.54mm_Vertical","~","","","","","","",""
"","","J14","VHF_AM_2","Connector:Conn_01x06_Female","Connector_Molex:Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical","~","","","","","","",""
"","","J15","INTERCOMM_ANALOG","Connector:Conn_01x10_Female","Connector_Molex:Molex_KK-254_AE-6410-10A_1x10_P2.54mm_Vertical","~","","","","","","",""
"","","J16","UHF_ENC_1","Connector:Conn_01x08_Female","Connector_Molex:Molex_KK-254_AE-6410-08A_1x08_P2.54mm_Vertical","~","","","","","","",""
"","","J17","UHF_ENC_2","Connector:Conn_01x08_Female","Connector_Molex:Molex_KK-254_AE-6410-08A_1x08_P2.54mm_Vertical","~","","","","","","",""
"","","J18","UHF","Connector:Conn_01x06_Female","Connector_Molex:Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical","~","","","","","","",""
"","","J19","AUDIO_KEYPAD","Connector:Conn_01x08_Female","Connector_Molex:Molex_KK-254_AE-6410-08A_1x08_P2.54mm_Vertical","~","","","","","","",""
"","","J20","INTERCOMM","Connector:Conn_01x08_Female","Connector_Molex:Molex_KK-254_AE-6410-08A_1x08_P2.54mm_Vertical","~","","","","","","",""
"","","J21","VHF_FM","Connector:Conn_01x08_Female","Connector_Molex:Molex_KK-254_AE-6410-08A_1x08_P2.54mm_Vertical","~","","","","","","",""
"","","J22","VHF_FM_1","Connector:Conn_01x08_Female","Connector_Molex:Molex_KK-254_AE-6410-08A_1x08_P2.54mm_Vertical","~","","","","","","",""
"","","J23","VHF_FM_2","Connector:Conn_01x06_Female","Connector_Molex:Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical","~","","","","","","",""
"","","J24","ROWS","Connector:Conn_01x16_Female","Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical","~","","","","","","",""
"","","J25","COLUMNS","Connector:Conn_01x11_Female","Connector_PinHeader_2.54mm:PinHeader_1x11_P2.54mm_Vertical","~","","","","","","",""
"","","J26","PWM","Connector_Generic:Conn_01x10","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical","~","","","","","","",""
"","","J27","PWM","Connector_Generic:Conn_01x08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~","","","","","","",""
"","","J28","Communication","Connector_Generic:Conn_01x08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~","","","","","","",""
"","","J29","Analog","Connector_Generic:Conn_01x08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~","","","","","","",""
"","","J30","Analog","Connector_Generic:Conn_01x08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~","","","","","","",""
"","","J31","PATCH","Connector:Conn_01x16_Female","Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical","~","","","","","","",""
"","","J32","PATCH","Connector:Conn_01x16_Female","Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical","~","","","","","","",""
"","","J33","Power","Connector_Generic:Conn_01x08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~","","","","","","",""
"","","J34","Power","Connector_Generic:Conn_01x08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~","","","","","","",""
"","","J35","Analog","Connector_Generic:Conn_01x08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~","","","","","","",""
"","","J36","Analog","Connector_Generic:Conn_01x08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~","","","","","","",""
"","","J37","Digital","Connector_Generic:Conn_02x18_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x18_P2.54mm_Vertical","~","","","","","","",""
"","","J38","PWM","Connector_Generic:Conn_01x10","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical","~","","","","","","",""
"","","J39","PWM","Connector_Generic:Conn_01x08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~","","","","","","",""
"","","J40","Communication","Connector_Generic:Conn_01x08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~","","","","","","",""
"","","R1","330","Device:R_US","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","","","","","","",""
"","","R2","330","Device:R_US","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","","","","","","",""
"","","R3","10K","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","","","","","","",""
"","","R4","10K","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","","","","","","",""
"","","R5","10K","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","","","","","","",""
"","","R6","10K","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","","","","","","",""
"","","R7","10K","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","","","","","","",""
"","","R8","10K","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","","","","","","",""
"","","R9","10K","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","","","","","","",""
"","","R10","10K","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","","","","","","",""
"","","R11","10K","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","","","","","","",""
"","","R12","10K","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","","","","","","",""
"","","R13","10K","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","","","","","","",""
"","","R14","10K","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","","","","","","",""
"","","U1","USR-ES1","USR-ES1:USR-ES1","USR-ES1:USRES1","","https://www.aliexpress.com/item/Free-Shipping-USR-ES1-W5500-Chip-New-SPI-to-LAN-Ethernet-Converter-TCP-IP-Mod/32714438223.html?spm=a2g0s.9042311.0.0.27424c4dBBEz2G","USRES1","3","Smart Electronics","USR-ES1","IC","USR-ES1"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Datasheet_1","Footprint_1","Height","Manufacturer_Name","Manufacturer_Part_Number","Reference_1","Value_1"
"1","14","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14","0.1uF","Device:C","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","~","","","","","","",""
"2","1","D1","GREEN","Device:LED","LED_THT:LED_D3.0mm","~","","","","","","",""
"3","1","D2","RED","Device:LED","LED_THT:LED_D3.0mm","~","","","","","","",""
"4","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","Arduino_MountingHole:MountingHole_3.2mm","~","","","","","","",""
"5","1","J1","VHF_AM","Connector:Conn_01x08_Female","Connector_Molex:Molex_KK-254_AE-6410-08A_1x08_P2.54mm_Vertical","~","","","","","","",""
"6","1","J2","AUX_LIGHT","Connector:Conn_01x06_Female","Connector_Molex:Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical","~","","","","","","",""
"7","1","J3","FUEL","Connector:Conn_01x10_Female","Connector_Molex:Molex_KK-254_AE-6410-10A_1x10_P2.54mm_Vertical","~","","","","","","",""
"8","1","J4","VHF_FM_ANA","Connector:Conn_01x03_Female","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","~","","","","","","",""
"9","1","J5","VHF_AM_ANA","Connector:Conn_01x03_Female","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","~","","","","","","",""
"10","1","J6","AUX_LTG_ANA","Connector:Conn_01x03_Female","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","~","","","","","","",""
"11","1","J7","FUEL ANA","Connector:Conn_01x03_Female","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","~","","","","","","",""
"12","1","J8","HSI","Connector:Conn_01x06_Female","Connector_Molex:Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical","~","","","","","","",""
