Designator,Mid X,Mid Y,Rotation,Layer
D1,89.4865,-40.64,0.0,top
D2,91.786,-112.133,180.0,top
J1,91.88,-67.774,0.0,top
J10,91.948,-52.84,0.0,top
J11,68.245,-58.165,0.0,top
J12,112.603,-94.678,180.0,top
J13,112.603,-82.043,180.0,top
J14,68.245,-70.8,0.0,top
J2,112.651,-67.882,180.0,top
J3,112.651,-55.247,180.0,top
J4,112.651,-42.612,180.0,top
J5,68.245,-45.53,0.0,top
J6,68.197,-84.518,0.0,top
J7,68.197,-97.153,0.0,top
J8,68.197,-109.788,0.0,top
J9,112.603,-107.313,180.0,top
R1,93.8965,-40.595,0.0,top
R2,87.376,-112.268,180.0,top
