Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Mega2560_R3_Shield,1,Arduino_Mega2560_R3_Shield,
"C1, C2, C3",C_Disc_D6.0mm_W2.5mm_P5.00mm,3,0.1uF,
"D1, D2",LED_D3.0mm,2,LED,
D3,LED_D3.0mm,1,GREEN,
D4,LED_D3.0mm,1,RED,
"D5, D6, D7",D_DO-35_SOD27_P7.62mm_Horizontal,3,1N5408,
"H1, H3, H5",MountingHole_2.5mm,3,H1,
"H2, H4, H6",MountingHole_2.5mm,3,H2,
J1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J10,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,SPARE I/O-2,
J11,IDC-Header_2x05_P2.54mm_Vertical,1,BATT-STEPPER,
J12,IDC-Header_2x05_P2.54mm_Vertical,1,HYD-STEPPER,
J13,IDC-Header_2x03_P2.54mm_Vertical,1,CABIN_ALT,
J14,IDC-Header_2x03_P2.54mm_Vertical,1,BRAKE_PRESS,
J15,IDC-Header_2x07_P2.54mm_Vertical,1,RADIO_ALT,
J16,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,1,SPARE A1,
J17,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,1,SPARE A2,
J18,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,1,SPARE I/O PWM 1,
J19,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,1,SPARE I/O PWM 2,
J2,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
"J20, J21, J3, J8",Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,4,12v-BK/LT,
J22,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,SPARE I2C,
J23,Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical,1,SPARE,
J4,BarrelJack_Horizontal,1,5V IN,
"J40, J41, J42, J43, J44",PinHeader_1x08_P2.54mm_Vertical,5,Conn_01x08,
J45,PinHeader_1x10_P2.54mm_Vertical,1,Conn_01x10,
"J50, J51",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02,
J6,Molex_KK-254_AE-6410-10A_1x10_P2.54mm_Vertical,1,COMPASS,
J7,BarrelJack_Horizontal,1,STEPPER IN 12-20VDC,
J9,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,SPARE I/O-1,
Q1,TO-220-3_Vertical,1,IRF1405PBF,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,500,
"R10, R11, R4, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,4,10K,
R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,2000,
"R3, R5, R6, R7, R8",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,5,330,
U1,USRES1,1,USR-ES1,
