Designator,Mid X,Mid Y,Rotation,Layer
A1,-13.863,51.4967,180.0,top
C1,-22.119,68.6562,270.0,top
C2,-18.669,68.6562,270.0,top
C3,-15.219,68.6562,270.0,top
D1,6.7655,-53.089,90.0,top
D2,12.3155,-53.089,90.0,top
D3,19.4178,40.4121,90.0,top
D4,19.5178,35.0121,90.0,top
D5,-20.1528,35.7108,90.0,top
D6,-16.6028,35.7108,90.0,top
D7,-13.0528,35.7108,90.0,top
J1,-12.373,-52.6938,180.0,top
J10,-33.0848,-29.959,0.0,top
J11,-55.2468,12.6927,90.0,top
J12,-55.415,-2.1141,90.0,top
J13,-21.7108,11.7147,90.0,top
J14,-21.8074,-3.5348,90.0,top
J15,-52.814,-17.2598,90.0,top
J16,-54.9548,-30.029,0.0,top
J17,-44.7548,-30.079,0.0,top
J18,-29.2502,-38.2223,0.0,top
J19,-19.0002,-38.1723,0.0,top
J2,-29.4386,67.833,0.0,top
J20,-52.5445,-53.344,0.0,top
J21,-59.6745,-53.344,0.0,top
J22,-40.7802,-38.2723,0.0,top
J23,-55.9202,-38.2723,0.0,top
J3,-45.4145,-53.344,0.0,top
J4,21.571,3.5292,180.0,top
J40,-3.033,80.6196,270.0,top
J41,-25.893,80.6196,270.0,top
J42,-48.753,80.6196,270.0,top
J43,-43.673,22.7076,270.0,top
J44,-20.843,22.7076,90.0,top
J45,3.551,22.7076,90.0,top
J50,-62.479,80.6196,90.0,top
J51,-61.6916,22.733,90.0,top
J6,-17.2738,-16.945,0.0,top
J7,21.571,16.1642,180.0,top
J8,-38.2845,-53.344,0.0,top
J9,-20.1548,-29.979,0.0,top
Q1,3.7846,14.5594,0.0,top
R1,-50.669,60.2887,0.0,top
R10,-9.7028,35.6108,90.0,top
R11,-50.7238,37.9617,0.0,top
R2,-50.669,57.1387,0.0,top
R3,-50.669,53.9887,0.0,top
R4,-50.669,50.8387,0.0,top
R5,-50.669,47.6887,0.0,top
R6,-50.669,44.5387,0.0,top
R7,11.0994,38.481,90.0,top
R8,14.2494,38.481,90.0,top
R9,-50.669,40.9956,0.0,top
U1,12.431,56.3227,270.0,top
