Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Mega2560_R3_Shield,1,Arduino_Mega2560_R3_Shield,
"C1, C2, C3, C4, C6, C7",0805,6,0.1uF,
C5,1210,1,100uF,
"D1, D2, D8",0805,3,LED,
D3,0805,1,GREEN,
D4,0805,1,RED,
"D5, D6, D7",0805,3,D,
F1,1206,1,Polyfuse,
"H1, H5",MountingHole_2.5mm,2,H1,
"H2, H4",MountingHole_2.5mm,2,H2,
J1,JST_XA_B04B-XASK-1_1x04_P2.50mm_Vertical,1,CANOPY_JETT,
J10,IDC-Header_2x05_P2.54mm_Vertical,1,IFEI,
J11,IDC-Header_2x07_P2.54mm_Vertical,1,JETT,
J12,IDC-Header_2x05_P2.54mm_Vertical,1,COMPASS,
J13,IDC-Header_2x03_P2.54mm_Vertical,1,CABIN_ALT,
J14,PinHeader_2x09_P2.54mm_Vertical,1,Conn_02x09_Odd_Even,
"J15, J50, J51",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02,
J16,IDC-Header_2x07_P2.54mm_Vertical,1,EMC_JETT,
"J17, J3",Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,2,FANS,
J2,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J20,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,1,MAP,
J22,IDC-Header_2x10_P2.54mm_Vertical,1,AMPCD,
J4,BarrelJack_Horizontal,1,5V IN,
"J40, J41, J42, J43, J44",PinHeader_1x08_P2.54mm_Vertical,5,Conn_01x08,
J45,PinHeader_1x10_P2.54mm_Vertical,1,Conn_01x10,
J5,IDC-Header_2x10_P2.54mm_Vertical,1,RWR,
J6,JST_XA_B03B-XASK-1_1x03_P2.50mm_Vertical,1,CRS,
J7,BarrelJack_Horizontal,1,STEPPER IN 12-20VDC,
J8,IDC-Header_2x05_P2.54mm_Vertical,1,VID_REC,
J9,JST_XA_B03B-XASK-1_1x03_P2.50mm_Vertical,1,HDG,
"Q1, Q10, Q2, Q3, Q4, Q5, Q6, Q7, Q8",SOT-23,9,Q_NMOS_GSD,
Q9,TO-220-3_Vertical,1,IRF1405PBF,
"R1, R12",0805,2,5K,
"R10, R13, R15, R17, R19, R20, R3, R31, R33, R6, R7, R8",0805,12,330,
"R11, R14, R16, R18, R2, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R32, R34, R35, R36, R37, R38, R39, R4, R5, R9",0805,25,10K,
U1,USRES1,1,USR-ES1,
U2,DIP-24_W7.62mm_LongPads,1,MAX7219,
