Designator,Mid X,Mid Y,Rotation,Layer
D1,99.456,-80.12,0.0,top
D10,127.7737,-75.1253,0.0,bottom
D11,117.891,-106.82,0.0,top
D12,118.781,-127.82,0.0,top
D13,116.981,-81.02,0.0,top
D14,131.6316,-96.5937,0.0,top
D2,136.606,-79.72,0.0,top
D3,134.846,-126.985,0.0,top
D4,101.456,-127.82,0.0,top
D5,132.731,-146.82,0.0,top
D6,105.506,-162.22,0.0,top
D7,133.223,-64.4652,0.0,bottom
D8,133.163,-67.8652,0.0,bottom
D9,127.7737,-72.5853,0.0,bottom
J1,127.2445,-117.35,180.0,bottom
L1,121.686,-98.061,0.0,bottom
L2,124.099,-134.891,0.0,bottom
R1,126.596,-82.27,0.0,bottom
R2,126.556,-79.97,0.0,bottom
R3,126.606,-84.52,0.0,bottom
R4,126.606,-77.57,0.0,bottom
SW1,134.533,-134.891,0.0,bottom
SW2,121.686,-90.949,0.0,bottom
