Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D13, D14, D15, D16, D17, D18, D2, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D39, D4, D40, D42, D43, D5, D6, D7, D8, D9",LED_D3.0mm_FlatTop,33,LED,
"D10, D11, D12, D19, D20, D21, D22, D23",D_A-405_P7.62mm_Horizontal-SIGNAL,8,D,
J1,IDC-Header_2x13_P2.54mm_Vertical,1,Conn_02x13_Counter_Clockwise,
"R1, R10, R11, R2, R3, R4, R5, R6, R7, R8, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,11,R,
RV1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,COM VOX,
RV2,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,COM MIDS B,
RV3,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,COM ICS,
RV4,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,COM TACAN,
RV5,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,COM RWR,
RV6,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,COM AUX,
RV7,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,COM MIDS A,
RV8,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,COM_WPN,
SW1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,COM COMM RELAY SW,
SW2,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,COM CRYPTO SW,
SW3,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,COM COMM G XMT SW,
SW4,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,COM IFF MASTER SW,
SW5,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,COM IFF MODE4 SW,
SW6,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,COM ILS UFC MAN SW,
SW7,JST_XH_B12B-XH-A_1x12_P2.50mm_Vertical,1,ILS PART A,
SW8,JST_XH_B12B-XH-A_1x12_P2.50mm_Vertical,1,ILS PART B,
