Designator,Mid X,Mid Y,Rotation,Layer
D1,89.667,-57.404,0.0,top
D10,155.1219,-88.392,0.0,bottom
D11,155.1219,-90.926,0.0,bottom
D12,155.1219,-93.549,0.0,bottom
D2,171.45,-68.6,0.0,top
D3,126.746,-68.6,0.0,top
D4,112.019,-48.768,0.0,top
D5,185.166,-48.788,0.0,top
D6,127.254,-89.936,0.0,top
D7,90.678,-79.268,0.0,top
D8,208.793,-67.584,0.0,top
D9,186.182,-81.3,0.0,top
J1,173.228,-90.5351,90.0,bottom
M1,137.434,-58.945,0.0,bottom
R1,192.024,-88.392,0.0,bottom
R2,192.024,-90.932,0.0,bottom
R3,192.024,-93.472,0.0,bottom
RV1,136.184,-79.265,0.0,bottom
SW1,176.276,-51.816,0.0,bottom
SW2,137.434,-68.58,0.0,bottom
SW3,166.116,-51.816,0.0,bottom
