Designator,Mid X,Mid Y,Rotation,Layer
D1,137.6172,-112.903,0.0,bottom
D10,104.648,-115.316,0.0,top
D11,166.624,-106.172,0.0,top
D12,80.523,-84.328,0.0,top
D13,191.775,-86.36,0.0,top
D14,167.64,-73.66,0.0,top
D15,106.68,-84.836,0.0,top
D16,138.943,-68.58,0.0,top
D17,163.068,-61.468,0.0,top
D18,138.943,-98.552,0.0,top
D19,128.016,-93.472,0.0,top
D2,137.6172,-115.0874,0.0,bottom
D20,117.607,-106.172,0.0,top
D3,137.6206,-117.2762,0.0,bottom
D4,137.6206,-119.4606,0.0,bottom
D5,146.9644,-112.6236,270.0,bottom
D6,82.296,-61.468,0.0,top
D7,81.539,-115.316,0.0,top
D8,189.743,-107.188,0.0,top
D9,106.68,-61.468,0.0,top
J1,121.92,-116.5955,90.0,bottom
L1,153.7008,-110.0752,0.0,bottom
R1,98.654,-72.39,90.0,bottom
R2,96.4704,-72.39,90.0,bottom
R3,94.2848,-72.39,90.0,bottom
R4,92.1004,-72.39,90.0,bottom
R5,89.9414,-72.39,90.0,bottom
SW1,153.7008,-103.1464,0.0,bottom
SW2,138.6586,-78.1558,0.0,bottom
SW3,138.7856,-88.4598,0.0,bottom
SW4,105.704,-71.137,0.0,bottom
