Designator,Mid X,Mid Y,Rotation,Layer
D1,142.5743,-62.7508,0.0,bottom
D10,78.3134,-93.9162,0.0,top
D11,108.7735,-79.9,0.0,top
D12,164.3782,-94.0087,0.0,top
D2,142.5956,-64.9986,0.0,bottom
D3,142.621,-67.2338,0.0,bottom
D4,133.3448,-79.9945,0.0,top
D5,108.8216,-65.9506,0.0,top
D6,78.3676,-65.9682,0.0,top
D7,113.3478,-93.9449,0.0,top
D8,133.3675,-65.931,0.0,top
D9,164.3902,-79.9432,0.0,top
J2,120.6595,-71.628,0.0,bottom
R1,76.581,-74.0402,0.0,bottom
R2,76.6064,-76.2254,0.0,bottom
R3,76.581,-78.4606,0.0,bottom
SW1,136.164,-90.461,0.0,bottom
SW2,100.35,-66.565,0.0,bottom
SW3,105.196,-90.949,0.0,bottom
