Designator,Footprint,Quantity,Value,LCSC Part #
10K1,R_Array_SIP12,1,R_Network11,
A2,Arduino_Mega2560_R3_Shield,1,Arduino_Mega2560_R3_Shield,
"C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27",C_Disc_D4.3mm_W1.9mm_P5.00mm,12,0.1uF,
"D3, D4",LED_D3.0mm,2,LED,
"D5, D6",D_A-405_P7.62mm_Horizontal-SIGNAL,2,D,
D7,LED_D3.0mm,1,GREEN,
D8,LED_D3.0mm,1,RED,
DRV8833,OZ_Hornet_DRV8833,1,DRV8833,
"H1, H2, H3, H4, H5, H6",MountingHole_3.2mm_M3,6,MountingHole,
J1,IDC-Header_2x03_P2.54mm_Vertical,1,FIRE,
"J10, J16, J19, J43, J44, J8",PinHeader_1x02_P2.54mm_Vertical,6,Conn_01x02_Pin,
J11,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
"J12, J14, J20, J28, J37, J38, J39, J40, J41, J42, J9",Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,11,12v-BK/LT,
"J13, J3, J7",IDC-Header_2x07_P2.54mm_Vertical,3,Conn_02x07_Top_Bottom,
J15,Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical,1,EJECTION SEAT,
"J17, J2, J21, J24, J25, J26, J27",IDC-Header_2x05_P2.54mm_Vertical,7,Conn_02x05_Top_Bottom,
"J18, J22, J23, J29, J30",PinHeader_1x08_P2.54mm_Vertical,5,Conn_01x08,
J31,PinHeader_1x10_P2.54mm_Vertical,1,Conn_01x10,
"J32, J33",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02,
J34,Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical,1,BREAKERS-STD,
J35,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,PORT SIDE,
J36,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,1,SPARE MAG OUT,
J4,BarrelJack_Horizontal,1,5V IN,
J5,BarrelJack_Horizontal,1,STEPPER IN 12-20VDC,
J6,IDC-Header_2x13_P2.54mm_Vertical,1,Conn_02x13_Counter_Clockwise,
"Q1, Q2, Q3, Q4, Q5, Q6",TO-220-3_Vertical,6,IRF1405PBF,
"R1, R11, R15, R19, R21, R3, R5, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,8,10K,
"R10, R18, R2, R20, R4, R6, R7, R8",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,8,330,
R16,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,500,
R17,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,2000,
U1,USRES1,1,USR-ES1,
U2,DIP-16_W7.62mm,1,5V/12V ULN2003A,
