Designator,Mid X,Mid Y,Rotation,Layer
10K1,279.908,-56.647,270.0,top
A2,336.418,-61.214,180.0,top
C16,335.638,-44.236,270.0,top
C17,332.188,-44.236,270.0,top
C18,328.738,-44.236,270.0,top
C19,325.288,-44.236,270.0,top
C20,321.838,-44.236,270.0,top
C21,318.388,-44.236,270.0,top
C22,314.938,-44.236,270.0,top
C23,311.488,-44.236,270.0,top
C24,308.038,-44.236,270.0,top
C25,304.588,-44.236,270.0,top
C26,301.138,-44.236,270.0,top
C27,297.688,-44.236,270.0,top
D3,371.577,-131.278,180.0,top
D4,371.577,-125.728,180.0,top
D5,324.104,-78.74,90.0,top
D6,326.644,-78.74,90.0,top
D7,370.332,-75.113,90.0,top
D8,370.332,-80.513,90.0,top
DRV8833,305.9285,-58.928,90.0,top
J1,308.361,-123.7075,90.0,top
J10,350.3312,-163.155,180.0,top
J11,363.205,-40.64,90.0,top
J12,284.0025,-165.588,0.0,top
J13,330.708,-123.7075,90.0,top
J14,305.562,-165.58,0.0,top
J15,310.134,-98.024,0.0,top
J16,345.7084,-163.1804,180.0,top
J17,355.6,-123.7075,90.0,top
J18,324.373,-32.004,270.0,top
J19,341.1364,-163.1804,180.0,top
J2,288.544,-108.9755,90.0,top
J20,291.1325,-165.588,0.0,top
J21,355.092,-137.9315,90.0,top
J22,301.513,-32.004,270.0,top
J23,347.233,-32.004,270.0,top
J24,288.544,-137.9315,90.0,top
J25,288.544,-123.7075,90.0,top
J26,288.544,-151.6475,90.0,top
J27,355.092,-151.6475,90.0,top
J28,312.5978,-165.4756,0.0,top
J29,306.593,-89.916,270.0,top
J3,328.676,-137.9315,90.0,top
J30,329.423,-89.916,90.0,top
J31,353.817,-89.916,90.0,top
J32,287.787,-32.004,90.0,top
J33,288.544,-89.916,90.0,top
J34,288.29,-98.024,0.0,top
J35,322.326,-165.58,0.0,top
J36,372.364,-152.908,90.0,top
J37,272.796,-117.856,270.0,top
J38,272.796,-124.986,270.0,top
J39,272.796,-132.116,270.0,top
J4,371.852,-109.1815,180.0,top
J40,272.796,-139.246,270.0,top
J41,272.796,-146.376,270.0,top
J42,272.796,-153.506,270.0,top
J43,359.5532,-163.155,180.0,top
J44,354.9032,-163.155,180.0,top
J5,371.852,-96.5465,180.0,top
J6,321.564,-151.6475,90.0,top
J7,315.468,-108.8739,90.0,top
J8,336.6152,-163.155,180.0,top
J9,298.432,-165.58,0.0,top
Q1,353.8982,-97.607,0.0,top
Q2,354.076,-104.1146,0.0,top
Q3,336.7532,-97.607,0.0,top
Q4,336.8548,-104.211,0.0,top
Q5,336.804,-110.307,0.0,top
Q6,354.076,-110.307,0.0,top
R1,346.964,-45.72,90.0,top
R10,337.82,-77.724,90.0,top
R11,353.568,-77.724,90.0,top
R15,344.424,-45.72,90.0,top
R16,372.872,-140.716,90.0,top
R17,370.332,-140.716,90.0,top
R18,340.36,-77.724,90.0,top
R19,356.108,-77.724,90.0,top
R2,330.2,-77.724,90.0,top
R20,342.9,-77.724,90.0,top
R21,358.648,-77.724,90.0,top
R3,345.948,-77.6796,90.0,top
R4,332.74,-77.724,90.0,top
R5,348.488,-77.724,90.0,top
R6,362.102,-77.724,90.0,top
R7,364.744,-77.724,90.0,top
R8,335.28,-77.724,90.0,top
R9,351.028,-77.724,90.0,top
U1,362.712,-56.388,270.0,top
U2,307.071,-75.956,90.0,top
