Designator,Footprint,Quantity,Value,LCSC Part #
A2,Arduino_Mega2560_R3_Shield,1,Arduino_Mega2560_R3_Shield,
"C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27",0805,12,0.1uF,
"D1, D8",0805,2,RED,
D3,0805,1,BLUE,
D4,0805,1,YELLOW,
"D5, D6",0805,2,D,
D7,0805,1,GREEN,
DRV8833,OZ_Hornet_DRV8833,1,DRV8833,
F1,1206,1,Polyfuse,
"H1, H2, H3, H4, H5, H6",MountingHole_3.2mm_M3,6,MountingHole,
J1,IDC-Header_2x03_P2.54mm_Vertical,1,FIRE,
"J10, J32, J33",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02,
J11,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
"J12, J14, J20, J37, J38, J39, J40, J41, J42, J9",Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,10,12v-BK/LT,
"J13, J3, J7",IDC-Header_2x07_P2.54mm_Vertical,3,Conn_02x07_Top_Bottom,
J15,Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical,1,EJECTION SEAT,
"J17, J21, J24, J25, J26, J27",IDC-Header_2x05_P2.54mm_Vertical,6,Conn_02x05_Top_Bottom,
"J18, J22, J23, J29, J30",PinHeader_1x08_P2.54mm_Vertical,5,Conn_01x08,
J2,IDC-Header_2x03_P2.54mm_Vertical,1,BRAKE_PRESS,
J31,PinHeader_1x10_P2.54mm_Vertical,1,Conn_01x10,
J34,Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical,1,BREAKERS-STD,
J35,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,PORT SIDE,
J4,BarrelJack_Horizontal,1,5V IN,
J5,BarrelJack_Horizontal,1,STEPPER IN 12-20VDC,
J6,IDC-Header_2x13_P2.54mm_Vertical,1,Conn_02x13_Counter_Clockwise,
J8,PinHeader_2x06_P2.54mm_Vertical,1,Conn_02x06_Odd_Even,
Q1,TO-220-3_Vertical,1,IRF1405PBF,
"Q2, Q3, Q5, Q6, Q7",SOT-23,5,Q_NMOS_GSD,
"R1, R11, R13, R14, R15, R16, R17, R19, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R9",0805,22,10K,
"R10, R12, R18, R2, R20, R8",0805,6,330,
"R6, R7",0805,2,1K,
U1,USRES1,1,USR-ES1,
U2,DIP-16_W7.62mm,1,5V/12V ULN2003A,
