Designator,Mid X,Mid Y,Rotation,Layer
A2,326.39,-61.214,180.0,top
C16,331.906,-42.072,270.0,top
C17,328.896,-42.072,270.0,top
C18,325.886,-42.072,270.0,top
C19,322.876,-42.072,270.0,top
C20,319.528,-42.098,270.0,top
C21,316.518,-42.098,270.0,top
C22,313.508,-42.098,270.0,top
C23,310.498,-42.098,270.0,top
C24,307.09,-42.204,270.0,top
C25,304.08,-42.204,270.0,top
C26,301.07,-42.204,270.0,top
C27,298.06,-42.204,270.0,top
D1,369.8385,-80.992,180.0,top
D3,369.8385,-78.492,180.0,top
D4,369.942,-75.992,180.0,top
D5,307.848,-116.2535,90.0,top
D6,310.388,-116.2535,90.0,top
D7,369.885,-71.0,180.0,top
D8,369.8815,-73.5,180.0,top
DRV8833,307.37,-58.62,90.0,top
F1,355.25,-97.55,0.0,top
J1,308.356,-123.19,90.0,top
J10,355.95,-110.12,0.0,top
J11,363.22,-40.64,90.0,top
J12,284.0025,-165.608,0.0,top
J13,330.708,-123.19,90.0,top
J14,280.42,-98.6,270.0,top
J15,338.074,-109.22,0.0,top
J17,355.6,-123.19,90.0,top
J18,324.358,-32.004,270.0,top
J2,292.1,-108.458,90.0,top
J20,291.1325,-165.608,0.0,top
J21,355.092,-137.414,90.0,top
J22,301.498,-32.004,270.0,top
J23,347.218,-32.004,270.0,top
J24,288.544,-137.414,90.0,top
J25,288.544,-123.19,90.0,top
J26,288.544,-151.13,90.0,top
J27,355.092,-151.13,90.0,top
J29,306.578,-89.916,270.0,top
J3,328.676,-137.414,90.0,top
J30,329.438,-89.916,90.0,top
J31,353.822,-89.916,90.0,top
J32,287.782,-32.004,90.0,top
J33,288.539,-89.916,90.0,top
J34,272.05,-103.32,270.0,top
J35,271.76,-51.308,270.0,top
J37,272.796,-118.11,270.0,top
J38,272.776,-124.986,270.0,top
J39,272.776,-132.116,270.0,top
J4,368.727,-107.789,180.0,top
J40,272.776,-139.246,270.0,top
J41,272.776,-146.376,270.0,top
J42,272.776,-153.506,270.0,top
J5,368.727,-95.154,180.0,top
J6,321.564,-151.13,90.0,top
J7,315.468,-108.458,90.0,top
J8,274.695,-73.55,0.0,top
J9,298.432,-165.6,0.0,top
Q1,341.69,-99.15,0.0,top
Q2,323.725,-66.8875,270.0,top
Q3,328.35,-66.8875,270.0,top
Q5,333.031,-66.844,270.0,top
Q6,337.656,-66.844,270.0,top
Q7,342.281,-66.844,270.0,top
R1,332.74,-47.1405,90.0,top
R10,328.59,-81.423,90.0,top
R11,348.45,-81.3875,90.0,top
R12,331.13,-81.423,90.0,top
R13,353.53,-81.3875,90.0,top
R14,365.8995,-80.992,0.0,top
R15,335.69,-47.1405,90.0,top
R16,365.8995,-78.492,0.0,top
R17,365.8995,-75.992,0.0,top
R18,333.67,-81.3195,90.0,top
R19,356.07,-81.3875,90.0,top
R2,323.596,-81.3835,90.0,top
R20,336.21,-81.423,90.0,top
R21,350.99,-81.3875,90.0,top
R22,294.8,-62.45,180.0,top
R23,282.6,-62.5,180.0,top
R24,294.7875,-60.0,180.0,top
R25,282.6,-59.95,180.0,top
R26,294.7375,-57.4,180.0,top
R27,282.65,-57.4,180.0,top
R28,294.75,-54.9,180.0,top
R29,282.6,-54.9,180.0,top
R3,345.948,-81.3835,90.0,top
R30,294.75,-52.35,180.0,top
R31,282.6,-52.3,180.0,top
R32,294.75,-49.8,180.0,top
R6,365.917,-70.992,0.0,top
R7,365.917,-73.492,0.0,top
R8,326.05,-81.4,90.0,top
R9,343.408,-81.3835,90.0,top
U1,362.362,-56.388,270.0,top
U2,307.086,-75.946,90.0,top
