Designator,Mid X,Mid Y,Rotation,Layer
D1,136.1515,-48.768,0.0,bottom
D10,105.664,-66.548,0.0,bottom
D11,105.664,-62.992,0.0,bottom
D12,136.1365,-58.928,0.0,bottom
D13,92.456,-27.94,0.0,top
D14,222.504,-66.548,0.0,top
D15,76.459,-133.096,0.0,top
D16,217.683,-108.712,0.0,top
D17,129.032,-85.344,0.0,top
D18,93.223,-41.656,0.0,top
D19,207.772,-56.388,0.0,top
D2,136.144,-51.308,0.0,bottom
D20,188.727,-66.548,0.0,top
D21,75.951,-116.332,0.0,top
D22,117.856,-23.368,0.0,top
D23,217.932,-89.408,0.0,top
D24,205.999,-39.624,0.0,top
D25,122.936,-48.768,0.0,top
D26,220.472,-35.052,0.0,top
D27,125.227,-67.564,0.0,top
D28,156.972,-29.972,0.0,top
D29,199.644,-84.328,0.0,top
D3,136.144,-53.848,0.0,bottom
D30,175.768,-66.548,0.0,top
D31,156.972,-16.256,0.0,top
D32,102.875,-102.108,0.0,top
D33,194.564,-29.464,0.0,top
D34,181.615,-29.464,0.0,top
D35,201.676,-100.584,0.0,top
D36,154.183,-47.244,0.0,top
D37,173.228,-42.672,0.0,top
D38,195.331,-125.984,0.0,top
D39,217.683,-17.78,0.0,top
D4,136.144,-56.428,0.0,bottom
D40,87.635,-66.548,0.0,top
D41,150.627,-64.008,0.0,top
D42,99.319,-133.096,0.0,top
D43,105.664,-70.104,0.0,bottom
D5,143.5604,-58.916,0.0,bottom
D6,143.547,-48.73,0.0,bottom
D7,143.5395,-51.27,0.0,bottom
D8,143.5395,-53.81,0.0,bottom
D9,143.5395,-56.388,0.0,bottom
J5,85.5885,-82.804,180.0,bottom
L1,120.396,-16.256,0.0,bottom
L2,94.996,-102.108,0.0,bottom
L3,168.93,-16.764,0.0,bottom
R1,107.188,-59.944,0.0,bottom
R10,96.012,-59.944,0.0,bottom
R2,107.188,-49.276,0.0,bottom
R3,107.188,-54.356,0.0,bottom
R4,107.188,-51.816,0.0,bottom
R5,107.188,-57.404,0.0,bottom
R6,96.012,-52.324,0.0,bottom
R7,96.012,-57.404,0.0,bottom
R8,96.012,-49.276,0.0,bottom
R9,96.012,-54.864,0.0,bottom
SW1,221.254,-25.908,0.0,bottom
SW10,216.1,-49.5,270.0,bottom
SW2,93.238,-16.273,0.0,bottom
SW3,204.965,-122.445,0.0,bottom
SW4,148.336,-16.764,0.0,bottom
SW5,85.852,-102.108,0.0,bottom
SW6,204.764,-107.222,0.0,bottom
SW7,124.968,-58.928,0.0,bottom
SW8,121.138,-83.837,0.0,bottom
SW9,204.998,-114.825,0.0,bottom
