Designator,Mid X,Mid Y,Rotation,Layer
D1,96.049,-66.5594,0.0,top
D10,96.2345,-94.3854,0.0,bottom
D12,95.27,-58.42,0.0,bottom
D2,106.209,-86.8794,0.0,top
D3,96.2345,-85.2654,0.0,bottom
D4,76.454,-87.376,0.0,top
D5,88.646,-110.2474,0.0,top
D6,96.2345,-88.3054,0.0,bottom
D7,76.195,-58.928,0.0,top
D8,111.289,-111.7714,0.0,top
D9,96.2345,-91.3454,0.0,bottom
J2,86.148,-73.0154,0.0,bottom
R1,96.4165,-75.8014,0.0,bottom
R2,96.4165,-78.7514,0.0,bottom
R3,96.4165,-81.7014,0.0,bottom
SW1,86.208,-58.42,0.0,bottom
SW2,85.894,-86.851,0.0,bottom
SW3,85.894,-94.651,0.0,bottom
SW4,85.894,-102.451,0.0,bottom
