Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Mega2560_R3_Shield,1,Arduino_Mega2560_R3_Shield,
"C1, C10, C11, C2, C3, C4, C6, C7, C8, C9",0805,10,0.1uF,
C5,1210,1,100uF,
"D1, D2, D8",0805,3,LED,
D3,0805,1,GREEN,
D4,0805,1,RED,
F1,1206,1,Polyfuse,
"H1, H5",MountingHole_2.5mm,2,H1,
"H2, H4",MountingHole_2.5mm,2,H2,
J1,IDC-Header_2x05_P2.54mm_Vertical,1,CAUTION,
J10,IDC-Header_2x03_P2.54mm_Vertical,1,AV_COOL,
J11,IDC-Header_2x05_P2.54mm_Vertical,1,WING_FOLD,
J12,IDC-Header_2x07_P2.54mm_Vertical,1,SIM_CNTRL,
J13,IDC-Header_2x03_P2.54mm_Vertical,1,LOCK_SHOOT,
J14,PinHeader_2x06_P2.54mm_Vertical,1,Conn_02x06_Odd_Even,
J15,IDC-Header_2x10_P2.54mm_Vertical,1,ECS,
J16,IDC-Header_2x10_P2.54mm_Vertical,1,KY-58,
J17,IDC-Header_2x10_P2.54mm_Vertical,1,SENSOR,
"J19, J50, J51",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02,
J2,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
"J20, J3",Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,2,12v-BK/LT,
J21,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,STB_ SIDE,
J22,Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical,1,LOCK-SHOOT_ORIG,
J23,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,1,MAP,
"J24, J26, J28",Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,3,NVG,
"J25, J27, J29",Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,3,FLOOD,
J4,BarrelJack_Horizontal,1,5V IN,
"J40, J41, J42, J43, J44",PinHeader_1x08_P2.54mm_Vertical,5,Conn_01x08,
J45,PinHeader_1x10_P2.54mm_Vertical,1,Conn_01x10,
J5,IDC-Header_2x07_P2.54mm_Vertical,1,RHS_CBS,
J6,Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical,1,RIGHT_CB_ORG,
J7,BarrelJack_Horizontal,1,STEPPER IN 12-20VDC,
J8,IDC-Header_2x03_P2.54mm_Vertical,1,BATT-ELEC,
J9,IDC-Header_2x10_P2.54mm_Vertical,1,INT_LIGHTS,
"Q1, Q2, Q3, Q4, Q5",SOT-23,5,Q_NMOS_GSD,
Q7,TO-220-3_Vertical,1,IRF1405PBF,
"R1, R12",0805,2,5K,
"R11, R2, R25, R26, R27, R28, R29, R30, R32, R34, R35, R36, R37, R38, R43, R44, R45, R46, R47, R5, R9",0805,21,10K,
"R31, R33, R39, R40, R41, R42, R7, R8",0805,8,330,
U1,USRES1,1,USR-ES1,
U2,DIP-24_W7.62mm_LongPads,1,MAX7219,
U3,DIP-16_W7.62mm,1,12V ULN2003A,
