Designator,Mid X,Mid Y,Rotation,Layer
A1,-23.891,51.4967,180.0,top
C1,-15.038,71.966,270.0,top
C10,-36.148,71.966,270.0,top
C11,-39.158,71.966,270.0,top
C2,-18.048,71.966,270.0,top
C3,-21.058,71.966,270.0,top
C4,19.9019,-9.496,0.0,top
C5,20.1009,-5.17,0.0,top
C6,-24.068,71.966,270.0,top
C7,-27.078,71.966,270.0,top
C8,-30.128,71.966,270.0,top
C9,-33.138,71.966,270.0,top
D1,19.1595,33.916,180.0,top
D2,19.263,36.416,180.0,top
D3,19.206,41.408,180.0,top
D4,19.2025,38.908,180.0,top
D8,19.1595,31.416,180.0,top
F1,5.522,16.616,270.0,top
J1,-73.408,-37.514,0.0,top
J10,-2.013,-45.374,0.0,top
J11,-58.408,-37.554,0.0,top
J12,-43.408,-40.094,0.0,top
J13,9.972,-45.374,0.0,top
J14,-18.808,54.316,0.0,top
J15,-58.408,-6.304,0.0,top
J16,-43.408,-6.304,0.0,top
J17,-28.408,-6.304,0.0,top
J19,6.772,3.496,0.0,top
J2,13.92,73.656,180.0,top
J20,21.022,-45.744,90.0,top
J21,-70.078,22.086,270.0,top
J22,-62.898,-53.434,0.0,top
J23,21.392,-20.984,90.0,top
J24,-78.628,72.106,270.0,top
J25,-78.598,43.576,270.0,top
J26,-78.628,57.846,270.0,top
J27,-78.628,50.716,270.0,top
J28,-78.698,65.026,270.0,top
J29,-78.628,36.456,270.0,top
J3,21.022,-38.614,90.0,top
J4,18.446,5.666,180.0,top
J40,-3.048,80.6196,270.0,top
J41,-25.908,80.6196,270.0,top
J42,-48.768,80.6196,270.0,top
J43,-43.688,22.7076,270.0,top
J44,-20.828,22.7076,90.0,top
J45,3.556,22.7076,90.0,top
J5,-28.408,-40.054,0.0,top
J50,-62.484,80.6196,90.0,top
J51,-61.6966,22.733,90.0,top
J6,-78.678,24.656,270.0,top
J7,18.446,17.5567,180.0,top
J8,-13.998,-45.374,0.0,top
J9,-73.408,-6.304,0.0,top
Q1,-41.4905,61.566,180.0,top
Q2,-41.4905,56.566,180.0,top
Q3,-41.4655,51.566,180.0,top
Q4,-41.478,46.5785,180.0,top
Q5,-41.4655,41.566,180.0,top
Q7,-11.028,12.781,0.0,top
R1,15.2205,33.916,0.0,top
R11,1.972,72.916,0.0,top
R12,15.2205,31.416,0.0,top
R2,15.2205,36.416,0.0,top
R25,-54.378,50.216,180.0,top
R26,-69.1405,50.316,0.0,top
R27,-54.378,52.766,180.0,top
R28,-69.1155,52.866,0.0,top
R29,-54.3905,55.316,180.0,top
R30,-69.1405,55.416,0.0,top
R31,-14.378,33.116,270.0,top
R32,-14.378,37.041,270.0,top
R33,-21.878,33.116,270.0,top
R34,-54.4405,57.866,180.0,top
R35,-69.1405,57.916,0.0,top
R36,-54.4405,60.366,180.0,top
R37,-69.1655,60.466,0.0,top
R38,-54.4405,62.916,180.0,top
R39,-19.378,33.1285,270.0,top
R40,-16.878,33.116,270.0,top
R41,-11.878,33.116,270.0,top
R42,-9.378,33.1535,270.0,top
R43,-21.878,37.041,270.0,top
R44,-19.378,37.041,270.0,top
R45,-16.878,37.041,270.0,top
R46,-11.878,37.041,270.0,top
R47,-9.378,37.0785,270.0,top
R5,19.9269,-12.896,0.0,top
R7,15.238,41.416,0.0,top
R8,15.238,38.916,0.0,top
R9,1.947,70.766,0.0,top
U1,12.081,56.3227,270.0,top
U2,-2.838,-10.574,90.0,top
U3,-7.978,-25.224,90.0,top
