Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Micro_Socket,1,Arduino_Micro_Socket,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D39, D4, D40, D41, D5, D6, D7, D8, D9",0805,33,LED,
"D31, D32, D33, D34, D35, D36, D37, D38",0805,8,D,
J1,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,1,BACKLIGHT,
J2,BarrelJack_Horizontal,1,5V IN,
J3,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,NEXTION,
"R1, R10, R11, R12, R2, R3, R5, R6, R7, R8, R9",0805,11,R,
R4,0805,1,10K,
RV1,JST_XA_B03B-XASK-1_1x03_P2.50mm_Vertical,1,NEXTION DIM,
RV2,JST_XA_B03B-XASK-1_1x03_P2.50mm_Vertical,1,VOLUME,
"SW1, SW15",SW_Push_1P1T_XKB_TS-1187A,2,START,
"SW10, SW4",SW_Push_1P1T_XKB_TS-1187A,2,ATC,
"SW11, SW5",SW_Push_1P1T_XKB_TS-1187A,2,SALUITE,
"SW12, SW7",SW_Push_1P1T_XKB_TS-1187A,2,PAUSE,
"SW13, SW8",SW_Push_1P1T_XKB_TS-1187A,2,EXIT,
"SW14, SW9",SW_Push_1P1T_XKB_TS-1187A,2,FULL SCREEN,
"SW2, SW3",SW_Push_1P1T_XKB_TS-1187A,2,WARP,
SW6,Molex_KK-254_AE-6410-10A_1x10_P2.54mm_Vertical,1,VIEWS,
U1,USRES1,1,USR-ES1,
