Designator,Mid X,Mid Y,Rotation,Layer
A1,112.32,-48.62,180.0,bottom
D1,49.1152,-127.8669,0.0,top
D10,79.1375,-63.125,180.0,top
D11,101.5875,-59.075,180.0,top
D12,101.6375,-63.075,180.0,top
D13,101.5625,-46.025,180.0,top
D14,101.6125,-49.9375,180.0,top
D15,124.1375,-59.075,180.0,top
D16,124.1375,-63.075,180.0,top
D17,124.0625,-46.025,180.0,top
D18,124.1125,-50.075,180.0,top
D19,140.3277,-53.1169,0.0,top
D2,49.0375,-120.3,0.0,top
D20,145.6277,-42.8294,0.0,top
D21,168.2277,-43.5294,0.0,top
D22,177.45,-52.75,0.0,top
D23,172.05,-71.5,0.0,top
D24,136.1,-65.85,0.0,top
D25,155.4625,-126.35,0.0,top
D26,169.0277,-126.3294,0.0,top
D27,162.4277,-148.0669,0.0,top
D28,140.8,-126.25,0.0,top
D29,169.4875,-115.3,0.0,top
D3,49.35,-99.55,0.0,top
D30,166.75,-83.1,0.0,top
D31,61.125,-56.05,0.0,top
D32,61.15,-58.85,0.0,top
D33,65.525,-58.85,0.0,top
D34,65.65,-62.0,0.0,top
D35,61.2,-65.25,0.0,top
D36,65.725,-65.3,0.0,top
D37,61.125,-61.95,0.0,top
D38,157.55,-92.65,0.0,top
D39,154.1625,-115.1,0.0,top
D4,49.7375,-85.75,0.0,top
D40,182.4,-126.5,180.0,top
D41,143.1,-82.75,0.0,top
D5,56.6125,-46.125,180.0,top
D6,56.6125,-49.825,180.0,top
D7,79.0625,-46.025,180.0,top
D8,79.1125,-49.825,180.0,top
D9,78.9375,-59.325,180.0,top
J1,169.07,-149.3,270.0,bottom
J2,170.275,-96.85,180.0,bottom
J3,168.4,-135.66,270.0,bottom
R1,49.4,-92.75,0.0,top
R10,137.4375,-95.25,0.0,top
R11,161.2875,-121.9,0.0,top
R12,161.2875,-124.85,0.0,top
R2,65.4125,-56.1,0.0,top
R3,141.3125,-89.35,0.0,top
R4,155.8652,-148.7669,180.0,top
R5,141.3125,-92.3,0.0,top
R6,141.3125,-95.25,0.0,top
R7,137.4375,-89.35,0.0,top
R8,177.6,-76.0,0.0,top
R9,137.4375,-92.3,0.0,top
RV1,168.6777,-108.3169,0.0,bottom
RV2,157.15,-108.25,0.0,bottom
SW1,62.1652,-47.9419,0.0,top
SW10,118.5625,-48.025,0.0,top
SW11,96.0625,-61.05,0.0,top
SW12,96.0375,-48.025,0.0,top
SW13,118.5375,-60.95,0.0,top
SW14,73.3625,-61.05,0.0,top
SW15,51.0875,-47.975,0.0,top
SW2,73.4875,-47.95,0.0,top
SW3,84.6652,-47.9419,0.0,top
SW4,129.6652,-47.9419,0.0,top
SW5,107.1902,-61.0919,0.0,top
SW6,161.9,-87.8,0.0,bottom
SW7,107.1652,-47.9419,0.0,top
SW8,129.6902,-60.9919,0.0,top
SW9,84.6902,-61.0919,0.0,top
U1,149.5777,-143.1669,270.0,bottom
