Designator,Mid X,Mid Y,Rotation,Layer
D1,84.587,-36.576,0.0,top
D10,172.212,-34.238,0.0,bottom
D11,172.212,-37.388,0.0,bottom
D12,172.212,-40.538,0.0,bottom
D13,185.171,-125.984,0.0,top
D14,183.139,-151.384,0.0,top
D15,114.051,-128.016,0.0,top
D16,114.808,-112.268,0.0,top
D17,134.62,-79.756,0.0,top
D18,144.531,-37.084,0.0,top
D19,172.212,-43.688,0.0,bottom
D2,252.476,-36.576,0.0,top
D20,172.212,-46.838,0.0,bottom
D21,172.212,-49.988,0.0,bottom
D22,172.212,-53.138,0.0,bottom
D23,172.212,-56.288,0.0,bottom
D24,147.579,-149.86,0.0,top
D25,84.328,-130.556,0.0,top
D26,114.051,-156.464,0.0,top
D27,171.455,-110.744,0.0,top
D28,90.424,-111.252,0.0,top
D29,88.392,-77.724,0.0,top
D3,220.472,-30.988,0.0,top
D30,147.32,-61.976,0.0,top
D31,83.82,-61.976,0.0,top
D32,114.559,-61.976,0.0,top
D33,147.579,-128.016,0.0,top
D34,172.471,-78.74,0.0,top
D35,220.731,-127.0,0.0,top
D36,252.476,-69.088,0.0,top
D37,221.488,-62.992,0.0,top
D39,252.476,-102.108,0.0,top
D4,184.912,-30.48,0.0,top
D40,220.731,-156.464,0.0,top
D42,252.227,-126.492,0.0,top
D43,220.731,-101.092,0.0,top
D5,184.155,-62.992,0.0,top
D6,138.176,-101.092,0.0,top
D7,83.82,-96.012,0.0,top
D8,113.792,-35.052,0.0,top
D9,185.171,-93.472,0.0,top
J1,157.7435,-43.688,0.0,bottom
R1,220.98,-50.8,0.0,bottom
R10,220.98,-117.044,0.0,bottom
R11,220.98,-120.194,0.0,bottom
R2,220.98,-53.95,0.0,bottom
R3,220.98,-57.1,0.0,bottom
R4,220.98,-71.628,0.0,bottom
R5,220.98,-74.778,0.0,bottom
R6,220.98,-77.928,0.0,bottom
R7,220.98,-107.594,0.0,bottom
R8,220.98,-110.744,0.0,bottom
R9,220.98,-113.894,0.0,bottom
RV1,214.5962,-31.7646,270.0,bottom
RV2,214.6554,-100.5332,270.0,bottom
RV3,228.0666,-31.75,270.0,bottom
RV4,214.4438,-128.818,270.0,bottom
RV5,214.5962,-64.476,270.0,bottom
RV6,228.109,-128.9158,270.0,bottom
RV7,228.109,-100.5732,270.0,bottom
RV8,228.1852,-64.3998,270.0,bottom
SW1,104.815,-32.7068,0.0,bottom
SW2,114.7826,-133.985,0.0,bottom
SW3,122.8706,-32.7068,0.0,bottom
SW4,180.701,-133.3754,0.0,bottom
SW5,147.5886,-133.748,0.0,bottom
SW6,147.2692,-101.4222,0.0,bottom
SW7,111.218,-71.137,0.0,bottom
SW8,111.218,-118.381,0.0,bottom
