Designator,Mid X,Mid Y,Rotation,Layer
D1,109.987,-37.084,0.0,top
D10,114.808,-61.468,0.0,bottom
D11,114.808,-64.618,0.0,bottom
D12,114.808,-67.768,0.0,bottom
D13,131.572,-148.844,0.0,top
D14,104.648,-148.844,0.0,top
D15,138.684,-132.08,0.0,top
D16,134.62,-32.512,0.0,top
D17,97.028,-135.128,0.0,top
D18,108.463,-110.744,0.0,top
D2,117.607,-117.856,0.0,top
D3,130.556,-82.296,0.0,top
D4,143.256,-97.028,0.0,top
D5,123.444,-71.628,0.0,top
D6,90.424,-110.236,0.0,top
D7,140.716,-54.356,0.0,top
D8,108.463,-57.404,0.0,top
D9,91.44,-62.992,0.0,top
J1,139.9635,-69.088,0.0,bottom
R1,121.92,-76.098,0.0,bottom
R2,121.92,-79.248,0.0,bottom
R3,121.92,-82.398,0.0,bottom
R4,121.92,-85.548,0.0,bottom
R5,121.92,-88.698,0.0,bottom
RV1,103.672,-64.025,0.0,bottom
RV2,103.672,-50.817,0.0,bottom
SW1,108.986,-120.413,0.0,bottom
SW2,107.736,-102.633,0.0,bottom
SW3,97.81,-102.633,0.0,bottom
